model,label,precision,recall,f1_score,support,accuracy
SVM_RBF,clasp,1.0,1.0,1.0,233.0,0.9931218952999618
SVM_RBF,down,0.9938271604938271,1.0,0.9969040247678018,161.0,0.9931218952999618
SVM_RBF,home,1.0,0.98989898989899,0.9949238578680203,198.0,0.9931218952999618
SVM_RBF,lb,0.989010989010989,1.0,0.994475138121547,180.0,0.9931218952999618
SVM_RBF,left,0.9536423841059603,1.0,0.976271186440678,144.0,0.9931218952999618
SVM_RBF,leftrunning,0.9516129032258065,0.9833333333333333,0.9672131147540983,60.0,0.9931218952999618
SVM_RBF,lt,1.0,1.0,1.0,198.0,0.9931218952999618
SVM_RBF,paper,0.9928571428571429,0.9586206896551724,0.9754385964912281,145.0,0.9931218952999618
SVM_RBF,rb,0.9868421052631579,1.0,0.9933774834437086,150.0,0.9931218952999618
SVM_RBF,right,1.0,1.0,1.0,180.0,0.9931218952999618
SVM_RBF,rock,0.9959016393442623,0.972,0.9838056680161943,250.0,0.9931218952999618
SVM_RBF,rt,1.0,1.0,1.0,174.0,0.9931218952999618
SVM_RBF,scissors,1.0,0.9882352941176471,0.9940828402366864,170.0,0.9931218952999618
SVM_RBF,thumb,1.0,1.0,1.0,200.0,0.9931218952999618
SVM_RBF,up,0.9942857142857143,1.0,0.997134670487106,174.0,0.9931218952999618
SVM_RBF,macro avg,0.9905320025724574,0.9928058871336761,0.9915751053751378,2617.0,0.9931218952999618
SVM_RBF,weighted avg,0.9932828253694421,0.9931218952999618,0.9931257111031304,2617.0,0.9931218952999618
KNN_5,clasp,1.0,1.0,1.0,233.0,0.9889186090943829
KNN_5,down,0.9757575757575757,1.0,0.9877300613496932,161.0,0.9889186090943829
KNN_5,home,1.0,1.0,1.0,198.0,0.9889186090943829
KNN_5,lb,0.989010989010989,1.0,0.994475138121547,180.0,0.9889186090943829
KNN_5,left,0.9411764705882353,1.0,0.9696969696969697,144.0,0.9889186090943829
KNN_5,leftrunning,0.967741935483871,1.0,0.9836065573770492,60.0,0.9889186090943829
KNN_5,lt,1.0,1.0,1.0,198.0,0.9889186090943829
KNN_5,paper,0.9928057553956835,0.9517241379310345,0.971830985915493,145.0,0.9889186090943829
KNN_5,rb,0.9803921568627451,1.0,0.9900990099009901,150.0,0.9889186090943829
KNN_5,right,1.0,1.0,1.0,180.0,0.9889186090943829
KNN_5,rock,0.9914529914529915,0.928,0.9586776859504132,250.0,0.9889186090943829
KNN_5,rt,0.9942857142857143,1.0,0.997134670487106,174.0,0.9889186090943829
KNN_5,scissors,0.9822485207100592,0.9764705882352941,0.9793510324483776,170.0,0.9889186090943829
KNN_5,thumb,1.0,1.0,1.0,200.0,0.9889186090943829
KNN_5,up,0.9886363636363636,1.0,0.9942857142857143,174.0,0.9889186090943829
KNN_5,macro avg,0.9869005648789485,0.9904129817444219,0.9884591883688902,2617.0,0.9889186090943829
KNN_5,weighted avg,0.9891488236976963,0.9889186090943829,0.9888343180035762,2617.0,0.9889186090943829
